date,country,population,confirmed,deaths,deaths.day,confirmed.day
2020-03-01,Argentina,44938712,0,0,0,0
2020-03-02,Argentina,44938712,0,0,0,0
2020-03-03,Argentina,44938712,1,0,0,1
2020-03-04,Argentina,44938712,1,0,0,0
2020-03-05,Argentina,44938712,1,0,0,0
2020-03-06,Argentina,44938712,2,0,0,1
2020-03-07,Argentina,44938712,8,0,0,6
2020-03-08,Argentina,44938712,12,1,1,4
2020-03-09,Argentina,44938712,12,1,0,0
2020-03-10,Argentina,44938712,17,1,0,5
2020-03-11,Argentina,44938712,19,1,0,2
2020-03-12,Argentina,44938712,19,1,0,0
2020-03-13,Argentina,44938712,31,2,1,12
2020-03-14,Argentina,44938712,34,2,0,3
2020-03-15,Argentina,44938712,45,2,0,11
2020-03-16,Argentina,44938712,56,2,0,11
2020-03-17,Argentina,44938712,68,2,0,12
2020-03-18,Argentina,44938712,79,2,0,11
2020-03-19,Argentina,44938712,97,3,1,18
2020-03-20,Argentina,44938712,128,3,0,31
2020-03-21,Argentina,44938712,158,4,1,30
2020-03-22,Argentina,44938712,266,4,0,108
2020-03-23,Argentina,44938712,301,4,0,35
2020-03-24,Argentina,44938712,387,6,2,86
2020-03-25,Argentina,44938712,387,8,2,0
2020-03-26,Argentina,44938712,502,9,1,115
2020-03-27,Argentina,44938712,589,13,4,87
2020-03-28,Argentina,44938712,690,18,5,101
2020-03-29,Argentina,44938712,745,19,1,55
2020-03-30,Argentina,44938712,820,23,4,75
2020-03-31,Argentina,44938712,1054,27,4,234
2020-04-01,Argentina,44938712,1054,28,1,0
2020-04-02,Argentina,44938712,1133,36,8,79
2020-04-03,Argentina,44938712,1265,39,3,132
2020-04-04,Argentina,44938712,1451,43,4,186
2020-04-05,Argentina,44938712,1451,44,1,0
2020-04-06,Argentina,44938712,1554,48,4,103
2020-04-07,Argentina,44938712,1628,56,8,74
2020-04-08,Argentina,44938712,1715,63,7,87
2020-04-09,Argentina,44938712,1795,72,9,80
2020-04-10,Argentina,44938712,1975,82,10,180
2020-04-11,Argentina,44938712,1975,83,1,0
2020-04-12,Argentina,44938712,2142,90,7,167
2020-04-13,Argentina,44938712,2208,97,7,66
2020-04-14,Argentina,44938712,2277,102,5,69
2020-04-15,Argentina,44938712,2443,111,9,166
2020-04-16,Argentina,44938712,2571,115,4,128
2020-04-17,Argentina,44938712,2669,123,8,98
2020-04-18,Argentina,44938712,2758,129,6,89
2020-04-19,Argentina,44938712,2839,132,3,81
2020-04-20,Argentina,44938712,2941,136,4,102
2020-04-21,Argentina,44938712,3031,147,11,90
2020-04-22,Argentina,44938712,3144,152,5,113
2020-04-23,Argentina,44938712,3435,165,13,291
2020-04-24,Argentina,44938712,3607,176,11,172
2020-04-25,Argentina,44938712,3780,185,9,173
